File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\Bug Fixing of emutation\11-01-2016\eferfar\WebLmisLibrary\ClassCropInfo.cs,161,161,14,0,0,0,0,0,0,0
D:\Bug Fixing of emutation\11-01-2016\eferfar\WebLmisLibrary\ClassStatusQuery.cs,429,429,34,0,0,0,0,0,0,0
D:\Bug Fixing of emutation\11-01-2016\eferfar\WebLmisLibrary\clsAmalgamation.cs,497,497,67,0,0,0,0,0,0,0
D:\Bug Fixing of emutation\11-01-2016\eferfar\WebLmisLibrary\clsBoja.cs,247,161,122,19,70,0,16,555,0,0
D:\Bug Fixing of emutation\11-01-2016\eferfar\WebLmisLibrary\clsBojaAadeshane.cs,214,144,112,15,57,0,13,300,0,0
D:\Bug Fixing of emutation\11-01-2016\eferfar\WebLmisLibrary\clsBojaKamiKarane.cs,258,157,115,19,64,0,37,769,0,0
D:\Bug Fixing of emutation\11-01-2016\eferfar\WebLmisLibrary\ClsBuyerDetail.cs,533,397,286,32,87,0,49,470,0,0
D:\Bug Fixing of emutation\11-01-2016\eferfar\WebLmisLibrary\clscommonfun.cs,892,892,69,0,0,0,0,0,0,0
D:\Bug Fixing of emutation\11-01-2016\eferfar\WebLmisLibrary\clscommonfun1.cs,653,653,47,0,0,0,0,0,0,0
D:\Bug Fixing of emutation\11-01-2016\eferfar\WebLmisLibrary\clsCommonFunc.cs,682,682,71,0,0,0,0,0,0,0
D:\Bug Fixing of emutation\11-01-2016\eferfar\WebLmisLibrary\clsCommonFunction.cs,3596,3596,316,0,0,0,0,0,0,0
D:\Bug Fixing of emutation\11-01-2016\eferfar\WebLmisLibrary\clsCommonFunctionBoja.cs,3213,3213,264,0,0,0,0,0,0,0
D:\Bug Fixing of emutation\11-01-2016\eferfar\WebLmisLibrary\clsCommonFunctions.cs,197,197,35,0,0,0,0,0,0,0
D:\Bug Fixing of emutation\11-01-2016\eferfar\WebLmisLibrary\clscommonfunctionsfaq.cs,105,94,64,10,11,0,0,0,0,0
D:\Bug Fixing of emutation\11-01-2016\eferfar\WebLmisLibrary\clscommonfunedit.cs,1112,827,641,73,111,0,174,1266,0,0
D:\Bug Fixing of emutation\11-01-2016\eferfar\WebLmisLibrary\clscommonfunfaq.cs,623,623,45,0,0,0,0,0,0,0
D:\Bug Fixing of emutation\11-01-2016\eferfar\WebLmisLibrary\clsContentType.cs,52,47,27,2,5,0,0,0,0,0
D:\Bug Fixing of emutation\11-01-2016\eferfar\WebLmisLibrary\clsFingerData.cs,200,160,126,12,33,3,7,47,0,0
D:\Bug Fixing of emutation\11-01-2016\eferfar\WebLmisLibrary\clsform12.cs,484,360,284,10,62,0,62,363,0,0
D:\Bug Fixing of emutation\11-01-2016\eferfar\WebLmisLibrary\clsForms.cs,1794,1794,122,0,0,0,0,0,0,0
D:\Bug Fixing of emutation\11-01-2016\eferfar\WebLmisLibrary\clsFrom1A.cs,3598,3598,413,0,0,0,0,0,0,0
D:\Bug Fixing of emutation\11-01-2016\eferfar\WebLmisLibrary\clsGahanKhat.cs,224,161,120,20,55,0,8,88,0,0
D:\Bug Fixing of emutation\11-01-2016\eferfar\WebLmisLibrary\clshakkasod.cs,150,97,73,9,29,0,24,171,0,0
D:\Bug Fixing of emutation\11-01-2016\eferfar\WebLmisLibrary\clsHakSod.cs,764,764,106,0,0,0,0,0,0,0
D:\Bug Fixing of emutation\11-01-2016\eferfar\WebLmisLibrary\clsHistory.cs,86,53,41,1,23,0,10,172,0,0
D:\Bug Fixing of emutation\11-01-2016\eferfar\WebLmisLibrary\clsIkrar.cs,234,162,120,20,62,0,10,261,0,0
D:\Bug Fixing of emutation\11-01-2016\eferfar\WebLmisLibrary\clsInputEntry.cs,1957,1957,140,0,0,0,0,0,0,0
D:\Bug Fixing of emutation\11-01-2016\eferfar\WebLmisLibrary\clsJapti.cs,239,163,122,20,63,0,13,301,0,0
D:\Bug Fixing of emutation\11-01-2016\eferfar\WebLmisLibrary\clsKharedi.cs,7903,7903,749,0,0,0,0,0,0,0
D:\Bug Fixing of emutation\11-01-2016\eferfar\WebLmisLibrary\clsLease (2).cs,210,157,117,17,45,0,8,71,0,0
D:\Bug Fixing of emutation\11-01-2016\eferfar\WebLmisLibrary\clsLease.cs,231,164,123,20,59,0,8,89,0,0
D:\Bug Fixing of emutation\11-01-2016\eferfar\WebLmisLibrary\clsLoginChecking.cs,254,218,162,11,36,0,0,0,0,0
D:\Bug Fixing of emutation\11-01-2016\eferfar\WebLmisLibrary\clsLREntry.cs,575,575,44,0,0,0,0,0,0,0
D:\Bug Fixing of emutation\11-01-2016\eferfar\WebLmisLibrary\clsMutationLr.cs,987,987,85,0,0,0,0,0,0,0
D:\Bug Fixing of emutation\11-01-2016\eferfar\WebLmisLibrary\clsmutationprocess.cs,2653,1842,1383,298,430,0,381,2103,0,0
D:\Bug Fixing of emutation\11-01-2016\eferfar\WebLmisLibrary\clsNA.cs,255,185,125,26,62,0,8,110,0,0
D:\Bug Fixing of emutation\11-01-2016\eferfar\WebLmisLibrary\clsNameChangeRajPatrane.cs,326,188,132,20,82,0,56,515,18,148
D:\Bug Fixing of emutation\11-01-2016\eferfar\WebLmisLibrary\clsNotice9.cs,50,50,5,0,0,0,0,0,0,0
D:\Bug Fixing of emutation\11-01-2016\eferfar\WebLmisLibrary\clsNoticeGen.cs,851,851,66,0,0,0,0,0,0,0
D:\Bug Fixing of emutation\11-01-2016\eferfar\WebLmisLibrary\clsPunrvasan.cs,232,163,122,20,61,0,8,89,0,0
D:\Bug Fixing of emutation\11-01-2016\eferfar\WebLmisLibrary\clsReport.cs,94,94,5,0,0,0,0,0,0,0
D:\Bug Fixing of emutation\11-01-2016\eferfar\WebLmisLibrary\ClsSellerDetail.cs,492,492,73,0,0,0,0,0,0,0
D:\Bug Fixing of emutation\11-01-2016\eferfar\WebLmisLibrary\clsSMSHandler.cs,216,216,18,0,0,0,0,0,0,0
D:\Bug Fixing of emutation\11-01-2016\eferfar\WebLmisLibrary\clsSubdivision.cs,497,497,67,0,0,0,0,0,0,0
D:\Bug Fixing of emutation\11-01-2016\eferfar\WebLmisLibrary\clsTaran.cs,218,155,116,19,52,0,11,101,1,6
D:\Bug Fixing of emutation\11-01-2016\eferfar\WebLmisLibrary\clsTenureChange.cs,286,206,155,27,72,0,8,90,0,0
D:\Bug Fixing of emutation\11-01-2016\eferfar\WebLmisLibrary\clsUserCreation.cs,426,426,34,0,0,0,0,0,0,0
D:\Bug Fixing of emutation\11-01-2016\eferfar\WebLmisLibrary\clsUserRegister.cs,355,355,26,0,0,0,0,0,0,0
D:\Bug Fixing of emutation\11-01-2016\eferfar\WebLmisLibrary\clsVadiVibhajan.cs,255,204,84,7,16,2,35,305,0,0
D:\Bug Fixing of emutation\11-01-2016\eferfar\WebLmisLibrary\clsVapratBadal.cs,259,166,125,20,80,0,13,189,0,0
D:\Bug Fixing of emutation\11-01-2016\eferfar\WebLmisLibrary\ClsVarsInformation.cs,1115,1115,87,0,0,0,0,0,0,0
D:\Bug Fixing of emutation\11-01-2016\eferfar\WebLmisLibrary\clsWaras - Copy.cs,378,298,198,46,60,6,20,225,0,0
D:\Bug Fixing of emutation\11-01-2016\eferfar\WebLmisLibrary\clsWaras.cs,520,391,259,64,81,9,48,726,5,62
D:\Bug Fixing of emutation\11-01-2016\eferfar\WebLmisLibrary\Copy of InnerMaster.master.cs,183,183,30,0,0,0,0,0,0,0
D:\Bug Fixing of emutation\11-01-2016\eferfar\WebLmisLibrary\DBHandler.cs,539,441,276,50,49,0,49,350,0,0
D:\Bug Fixing of emutation\11-01-2016\eferfar\WebLmisLibrary\objCertify.cs,274,249,125,20,25,0,0,0,0,0
D:\Bug Fixing of emutation\11-01-2016\eferfar\WebLmisLibrary\Properties\AssemblyInfo.cs,36,15,3,0,5,0,16,118,0,0
